stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
19051,,"Kriaučiūnai","",54.71213,25.15035,https://www.stops.lt/vilnius/index.html#stop/3615a,,,
19222,,"Loretos Asanavičiūtės st.","",54.68335,25.19618,https://www.stops.lt/vilnius/index.html#stop/1661a,,,
19223,,"Loretos Asanavičiūtės st.","",54.68354,25.19613,https://www.stops.lt/vilnius/index.html#stop/1662a,,,
18426,,"Naujaneriai","",54.80143,25.34802,https://www.stops.lt/vilnius/index.html#stop/2241,,,
18427,,"Naujaneriai","",54.80145,25.34816,https://www.stops.lt/vilnius/index.html#stop/2242,,,
18375,,"Oro uostas","",54.64396,25.27959,https://www.stops.lt/vilnius/index.html#stop/6015,,,
19220,,"Pasakų parkas","",54.68562,25.20518,https://www.stops.lt/vilnius/index.html#stop/1717a,,,
19221,,"Pasakų parkas","",54.68552,25.20510,https://www.stops.lt/vilnius/index.html#stop/1716a,,,
19016,,"Šilo tiltas","",54.70593,25.30739,https://www.stops.lt/vilnius/index.html#stop/1149,,,
10310,,"Skirgiškės","link miesto",54.82865,25.36410,https://www.stops.lt/vilnius/index.html#stop/2300,,,
19106,,"Sodų st.","",54.72378,25.18840,https://www.stops.lt/vilnius/index.html#stop/4405a,,,
19294,,"Stebuklų st.","",54.74918,25.18380,https://www.stops.lt/vilnius/index.html#stop/5017,,,
18903,,"Strielčiukai","iš stoties",54.67722,25.39801,https://www.stops.lt/vilnius/index.html#stop/1416b,,,
19076,,"Strielčiukai","link stoties",54.67715,25.39782,https://www.stops.lt/vilnius/index.html#stop/1415a,,,
19208,,"Taugotiškių st.","link N.Vilnios",54.67272,25.37348,https://www.stops.lt/vilnius/index.html#stop/1445,,,
